filename,label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14
1-137-A-32.wav,0,[0.         0.35962126 0.         ... 0.1913388  0.6083024  0.        ],[0.         0.47400653 0.         ... 0.27485445 0.56238806 0.        ],[0.         0.44309774 0.         ... 0.3459322  0.37113714 0.        ],[0.         0.4332486  0.         ... 0.37326965 0.38038373 0.        ],[0.         0.48258495 0.         ... 0.35220188 0.42334163 0.        ],[0.         0.44016978 0.         ... 0.29316288 0.46000218 0.        ],[0.         0.41213396 0.         ... 0.28022814 0.5032608  0.        ],[0.         0.41047746 0.         ... 0.28526622 0.44758096 0.        ],[0.         0.41316986 0.         ... 0.31810817 0.44350168 0.        ],[0.         0.38734305 0.         ... 0.32935315 0.48747295 0.        ],[0.         0.39735937 0.         ... 0.33877587 0.53814673 0.        ],[0.         0.39338642 0.         ... 0.30986786 0.5489848  0.        ],[0.         0.42047566 0.         ... 0.31192005 0.51380795 0.        ],[0.         0.41707307 0.         ... 0.29653472 0.520567   0.        ],[0.         0.41290873 0.         ... 0.2547907  0.56574863 0.        ]
1-137296-A-16.wav,0,[0.         0.43823367 0.         ... 0.16977793 0.6286837  0.        ],[0.         0.5981469  0.         ... 0.15272672 0.6230432  0.        ],[0.         0.57313764 0.         ... 0.14716344 0.56634164 0.        ],[0.         0.49542457 0.         ... 0.15043506 0.5830878  0.        ],[0.         0.4324635  0.         ... 0.15741454 0.597915   0.        ],[0.         0.40140575 0.         ... 0.16180123 0.6000992  0.        ],[0.         0.41178125 0.         ... 0.16586734 0.6209425  0.        ],[0.         0.41725206 0.         ... 0.18641412 0.6822398  0.        ],[0.         0.41453785 0.         ... 0.18697116 0.6832105  0.        ],[0.         0.4725861  0.         ... 0.17828678 0.6073081  0.        ],[0.         0.5323632  0.         ... 0.18680938 0.578776   0.        ],[0.         0.5707818  0.         ... 0.1948792  0.55897766 0.        ],[0.        0.5510522 0.        ... 0.2016477 0.6026328 0.       ],[0.         0.5015979  0.         ... 0.17459537 0.60063654 0.        ],[0.         0.35920057 0.         ... 0.15251234 0.55093914 0.        ]
1-17367-A-10.wav,0,[0.         0.26198247 0.         ... 0.19634753 0.22491688 0.        ],[0.         0.13992763 0.         ... 0.29407376 0.00198972 0.        ],[0.         0.14828661 0.         ... 0.28502595 0.12487024 0.        ],[0.         0.237783   0.         ... 0.3188164  0.23522425 0.        ],[0.         0.2426982  0.         ... 0.34512278 0.3032056  0.        ],[0.         0.26532716 0.         ... 0.30451697 0.24952978 0.        ],[0.         0.25099275 0.         ... 0.24648039 0.24235699 0.        ],[0.         0.17642719 0.         ... 0.24845976 0.08463979 0.        ],[0.         0.10248539 0.         ... 0.28113657 0.         0.        ],[0.         0.12331337 0.         ... 0.29132158 0.         0.        ],[0.         0.1806591  0.         ... 0.27013445 0.         0.        ],[0.         0.2633191  0.         ... 0.26426548 0.16970679 0.        ],[0.         0.27537292 0.         ... 0.3119987  0.20628247 0.        ],[0.         0.21995574 0.         ... 0.26721156 0.15065417 0.        ],[0.         0.22144014 0.         ... 0.21399352 0.27945098 0.        ]
1-21189-A-10.wav,0,[0.         0.22572382 0.         ... 0.16107684 0.22611332 0.        ],[0.         0.08293921 0.         ... 0.22520457 0.         0.        ],[0.         0.12502855 0.         ... 0.2116268  0.07485473 0.        ],[0.         0.15852062 0.         ... 0.21895987 0.10178554 0.        ],[0.         0.20375913 0.         ... 0.23254992 0.1029852  0.        ],[0.         0.22046278 0.         ... 0.22231644 0.09231392 0.        ],[0.         0.21044038 0.         ... 0.19681017 0.15179095 0.        ],[0.         0.25368243 0.         ... 0.18433547 0.20470384 0.        ],[0.         0.31641865 0.         ... 0.18102513 0.24133116 0.        ],[0.         0.3420167  0.         ... 0.17612433 0.17926112 0.        ],[0.         0.35222274 0.         ... 0.15428971 0.12104908 0.        ],[0.         0.33400667 0.         ... 0.15799893 0.09291631 0.        ],[0.         0.29352188 0.         ... 0.1603721  0.11866784 0.        ],[0.         0.23335277 0.         ... 0.1423837  0.15385547 0.        ],[0.         0.29277658 0.         ... 0.1345307  0.35774732 0.        ]
1-21934-A-38.wav,0,[0.         0.34845445 0.         ... 0.16707315 0.6418594  0.        ],[0.         0.33702734 0.         ... 0.2076759  0.7876097  0.        ],[0.        0.3276155 0.        ... 0.1912333 0.7211839 0.       ],[0.         0.371961   0.         ... 0.17314367 0.7311908  0.        ],[0.         0.3024074  0.         ... 0.19884755 0.7596821  0.        ],[0.         0.3180033  0.         ... 0.22667643 0.7856517  0.        ],[0.         0.3708821  0.         ... 0.21196762 0.7363941  0.        ],[0.         0.27318966 0.         ... 0.21598405 0.78338015 0.        ],[0.         0.35152784 0.         ... 0.19668391 0.72304684 0.        ],[0.         0.39993855 0.         ... 0.1783793  0.6717782  0.        ],[0.         0.36800337 0.         ... 0.19264537 0.70007086 0.        ],[0.         0.34932956 0.         ... 0.2265355  0.7614032  0.        ],[0.         0.38514656 0.         ... 0.196504   0.6999724  0.        ],[0.         0.37418833 0.         ... 0.2348295  0.74697775 0.        ],[0.         0.36074984 0.         ... 0.19094935 0.7348039  0.        ]
1-21935-A-38.wav,0,[0.         0.23515826 0.         ... 0.29659265 0.7750826  0.        ],[0.         0.24817029 0.         ... 0.33199686 0.8471445  0.        ],[0.         0.29571116 0.         ... 0.28368238 0.72874266 0.        ],[0.         0.3414042  0.         ... 0.27265537 0.65214926 0.        ],[0.         0.36137372 0.         ... 0.26429734 0.61392194 0.        ],[0.         0.34538198 0.         ... 0.28086248 0.6118038  0.        ],[0.         0.33076245 0.         ... 0.3248121  0.646578   0.        ],[0.         0.3352859  0.         ... 0.31724107 0.6790682  0.        ],[0.         0.32124186 0.         ... 0.31288743 0.6707908  0.        ],[0.         0.3164541  0.         ... 0.28410485 0.64351475 0.        ],[0.         0.31489077 0.         ... 0.28731182 0.6347321  0.        ],[0.         0.33311716 0.         ... 0.3149793  0.6680516  0.        ],[0.         0.33084172 0.         ... 0.3273485  0.6574896  0.        ],[0.         0.35764194 0.         ... 0.25510693 0.6795602  0.        ],[0.         0.34987518 0.         ... 0.18724985 0.58301073 0.        ]
1-26222-A-10.wav,0,[0.         0.28177637 0.         ... 0.15820996 0.2351842  0.        ],[0.         0.19688089 0.         ... 0.20300846 0.01769096 0.        ],[0.         0.2332924  0.         ... 0.18570894 0.14204413 0.        ],[0.         0.27088016 0.         ... 0.17779195 0.20373333 0.        ],[0.         0.30483717 0.         ... 0.16692187 0.22913405 0.        ],[0.         0.32756913 0.         ... 0.16949181 0.22968984 0.        ],[0.         0.33102357 0.         ... 0.17339233 0.18318632 0.        ],[0.         0.27116802 0.         ... 0.16724728 0.07813346 0.        ],[0.         0.26321048 0.         ... 0.14980263 0.02598661 0.        ],[0.         0.24390563 0.         ... 0.16063902 0.06034863 0.        ],[0.         0.25592154 0.         ... 0.16147777 0.16726601 0.        ],[0.         0.28075266 0.         ... 0.17732377 0.19669488 0.        ],[0.         0.22862694 0.         ... 0.19549064 0.11433965 0.        ],[0.         0.02448827 0.         ... 0.22542928 0.         0.        ],[0.         0.12451179 0.         ... 0.1998968  0.10157314 0.        ]
1-28135-A-11.wav,0,[0.         0.1959451  0.         ... 0.         0.47608435 0.        ],[0.         0.10830781 0.         ... 0.         0.42029333 0.        ],[0.         0.07636341 0.         ... 0.         0.46639454 0.        ],[0.         0.13858618 0.         ... 0.         0.46217275 0.        ],[0.         0.1879405  0.         ... 0.         0.38541764 0.        ],[0.         0.2340716  0.         ... 0.00707813 0.3459745  0.        ],[0.         0.26618117 0.         ... 0.0132955  0.36390764 0.        ],[0.         0.23132348 0.         ... 0.04675134 0.4037782  0.        ],[0.         0.19327468 0.         ... 0.05815187 0.4240958  0.        ],[0.001681   0.11672187 0.         ... 0.08379909 0.42795074 0.        ],[0.         0.15857574 0.         ... 0.09970424 0.35033762 0.        ],[0.         0.22133093 0.         ... 0.09335776 0.33045465 0.        ],[0.         0.25723693 0.         ... 0.08263551 0.29546165 0.        ],[0.         0.33291525 0.         ... 0.07587949 0.28675935 0.        ],[0.00415588 0.31806982 0.         ... 0.10845339 0.3831495  0.        ]
1-28135-B-11.wav,0,[0.         0.07614827 0.         ... 0.10580209 0.6997899  0.        ],[0.         0.17582992 0.         ... 0.10098314 0.5535207  0.        ],[0.         0.30566034 0.         ... 0.11990356 0.38578647 0.        ],[0.         0.29427457 0.         ... 0.1173159  0.31356093 0.        ],[0.         0.31238094 0.         ... 0.09053089 0.34470153 0.        ],[0.         0.32823586 0.         ... 0.07796624 0.40287054 0.        ],[0.         0.28302333 0.         ... 0.03995866 0.46050024 0.        ],[0.         0.18423    0.         ... 0.01984122 0.4680698  0.        ],[0.         0.13732614 0.         ... 0.03097918 0.43893623 0.        ],[0.         0.03482458 0.         ... 0.03085833 0.5488257  0.        ],[0.         0.         0.         ... 0.00706971 0.5743348  0.        ],[0.         0.         0.         ... 0.         0.57131886 0.        ],[0.       0.       0.       ... 0.       0.639255 0.      ],[0.        0.        0.        ... 0.        0.6243685 0.       ],[0.         0.11306565 0.         ... 0.04951897 0.545814   0.        ]
1-29532-A-16.wav,0,[0.         0.28181297 0.         ... 0.1035179  0.6655115  0.        ],[0.         0.16921785 0.         ... 0.12691258 0.5075373  0.        ],[0.         0.05315518 0.         ... 0.1443349  0.434978   0.        ],[0.         0.01943707 0.         ... 0.15192652 0.42399734 0.        ],[0.         0.         0.         ... 0.15122049 0.4637527  0.        ],[0.         0.         0.         ... 0.19634332 0.4691571  0.        ],[0.        0.        0.        ... 0.2553401 0.5153882 0.       ],[0.         0.         0.         ... 0.26593763 0.5796832  0.        ],[0.         0.11758211 0.         ... 0.24612403 0.64444923 0.        ],[0.         0.14793609 0.         ... 0.22101203 0.6613133  0.        ],[0.         0.14043063 0.         ... 0.17806807 0.55599916 0.        ],[0.         0.1278052  0.         ... 0.17301692 0.42577058 0.        ],[0.         0.05691242 0.         ... 0.20702559 0.3876846  0.        ],[0.         0.         0.         ... 0.22935408 0.4150949  0.        ],[0.         0.07195839 0.         ... 0.14258376 0.50091064 0.        ]
